Headline,Date
"
			Teen dead, man wounded in Tribeca street stabbing attack, NYPD says		",2023-11-23 19:52:06
"
			Ex-con shoots Astoria building super, then opens fire from sixth-floor window at NYPD cops before shooting self		",2023-11-23 19:53:44
"
			ATV rider fatally struck by hit-and-run Jeep driver in the Bronx		",2023-11-22 19:31:26
"
			Cops hunt stranger who groped 12-year-old girl on Upper East Side street		",2023-11-22 17:27:56
"
			Teen choked unconscious on Queens subway train by stranger in unprovoked attack		",2023-11-23 00:54:00
"
			Ex-diplomat accused of hurling hate words at NYC halal vendors ‘peace-loving’, says lawyer at Manhattan arraignment		",2023-11-22 18:17:27
"
			Long Island woman, 23, killed in LIE drunk driving crash was a daddy’s girl with bright future		",2023-11-22 16:16:12
"
			Chronic alcohol abuse blamed for death of reality TV star Brooke Gomez, found dead in Upper East Side home; was interior designer for Bethenny Frankel		",2023-11-22 16:18:29
"
			Brooklyn man was ‘sickly’ and no threat to cousin who shot him dead in Bedford-Stuyvesant, victim’s daughter says		",2023-11-21 20:19:51
"
			Judge set to release two Gambino soldiers for Thanksgiving, says gangsters ‘are not killing people these days’		",2023-11-21 18:08:12
"
			Brooklyn woman who threw coffee at dad in Palestinian scarf surrenders to face hate crime charges		",2023-11-23 19:52:06
"
			Ex-con shot to death outside Queens deli during argument with killer		",2023-11-23 19:53:44
"
			Man killed, another wounded in separate Bronx shootings		",2023-11-22 19:31:26
"
			Daytime shooting in Prospect Park wounds one, sends bystanders scrambling		",2023-11-22 17:27:56
"
			Woman dies after she was struck by hit-run driver and thrown from elevated Bronx expressway		",2023-11-23 00:54:00
"
			Birthmark, Adidas shorts on headless corpse washed up on NYC beach match missing Irish filmmaker Ross McDonnell: NYPD		",2023-11-22 18:17:27
"
			Driver downed tequila at Manhattan bar before expressway crash killed 1 passenger, critically hurt 3 others: prosecutors		",2023-11-22 16:16:12
"
			Six tea poodle puppies stolen from Bronx apartment by masked burglars		",2023-11-22 16:18:29
"
			Brooklyn landlord charged only with gun possession in slay of tenant who survived being shot year earlier (EXCLUSIVE)		",2023-11-21 20:19:51
"
			New arrest as family mourns father of twins gunned down returning to old Brooklyn public housing stomping grounds		",2023-11-21 18:08:12
"
			Jealous husband kills wife, wounds stepson in Brooklyn shooting, say neighbors, NYPD		",2023-11-21 16:36:33
"
			Headless, armless body found on beach in Rockaways, Queens; cause of death unknown		",2023-11-21 18:57:38
"
			As Adult Survivors Act set to expire on Thanksgiving, lawyers say one-year window to bring sex abuse claims ‘way too short’		",2023-11-22 12:25:02
"
			NYPD nabs teen suspect for fatally stabbing one, wounding another on Lower East Side		",2023-11-22 11:05:37
"
			Headless body that washed up on Rockaway beach may be missing Irish filmmaker, Ross McDonnell: police sources		",2023-11-21 19:34:54
"
			NYC EMT dies of heart attack at 911 call center: FDNY		",2023-11-20 17:35:14
"
			Cops nab Yonkers gunman who shot off-duty NYPD cop		",2023-11-20 14:30:10
"
			Man, 64, shot dead outside Brooklyn home; person of interest in custody: NYPD		",2023-11-19 21:58:56
"
			Forklift driver runs over own son in East Village crash; third pedestrian fatality in 24 hours: police		",2023-11-19 19:26:36
"
			Personal accounts motion for receivership over city jails Rikers Island NYC		",2023-11-20 11:42:10
"
			Man fatally slashed in troubled Lower East Side, Manhattan park; teen stabbed in Times Square		",2023-11-21 16:36:33
"
			Elderly woman killed in hit-and-run ‘peacefully’ crossing Brooklyn street: ‘He never slowed down’		",2023-11-21 18:57:38
"
			Man fatally shot in Harlem, latest burst of violence at NYC smoke shops		",2023-11-22 12:25:02
"
			Amid spike in subway assaults,  shoving suspect held on bail after confessing to pushing 85-year-old man onto tracks		",2023-11-22 11:05:37
"
			Preferred developer list for FDNY inspections emerges amid FBI probe into Mayor Adams’ campaign: source		",2023-11-21 19:34:54
"
			NYC taxi driver, 82, beaten unconscious during fight over fare: cops		",2023-11-20 17:35:14
"
			Raging Bronx apartment fire leaves 4 fighting for lives, 1 critical; neighbors screamed for help		",2023-11-20 14:30:10
"
			Department of education employee busted for trying to grab teenage girl off Queens street: NYPD		",2023-11-19 21:58:56
"
			FDNY chief felt pressured to push approvals for NYC Turkish consulate despite safety concerns, lawyer says		",2023-11-19 19:26:36
"
			NYPD lieutenant placed on desk duty in probe into his internal affairs investigation of young detective		",2023-11-20 11:42:10
"
			85-year-old man shoved to subway tracks at Rockefeller Center station		",2023-11-21 12:46:58
"
			Nearly nude dead woman found dragged and dumped on Queens street		",2023-11-18 19:47:26
"
			Off-duty FDNY firefighter arrested for attacking girlfriend with baseball bat		",2023-11-18 21:46:39
"
			Crazed smokers fight cops who told them to knock it off in NYC subway station		",2023-11-18 16:56:30
"
			Off-duty NYPD cop shot, wounded in ‘targeted’ attack in Yonkers		",2023-11-18 16:34:37
"
			Cops arrest woman who slapped teen, man at pro-Palestinian march on Brooklyn Bridge		",2023-11-19 08:01:11
"
			Feds seize $1.3B in knockoffs from Manhattan storage unit, largest-ever counterfeit bust		",2023-11-18 02:43:31
"
			Ex-husband shocked by stabbing death of woman by enraged landlord in Queens triple slay (EXCLUSIVE)		",2023-11-17 22:36:56
"
			Brooklyn ex-con pleads guilty to mid-sermon robbery of ‘Bling Bishop’ Lamor Whitehead		",2023-11-17 19:26:48
"
			Staffer for Rep. George Santos pleads guilty to wire fraud in donor scam		",2023-11-17 19:16:03
"
			Attacker stabs, slashes three men in Brooklyn rampage, including stranger sleeping on subway		",2023-11-21 12:46:58
"
			Landlord stabs three tenants to death in their Queens home; rent dispute eyed		",2023-11-18 19:47:26
"
			NYPD lieutenant pummeled on Bronx subway train; two men arrested		",2023-11-18 21:46:39
"
			NYC Sanitation employee beaten on the job gets second chance for a disability pension		",2023-11-18 16:56:30
"
			Family mourns loss of ‘wonderful person, great father’ after suspect arrested in his Queens BMW road rage death		",2023-11-18 16:34:37
"
			NYPD cruiser crashes, several hospitalized during Brooklyn pursuit		",2023-11-19 08:01:11
"
			NYC Jewish sites hit with bomb threats, inert grenade, as Gaza war sparks surge in antisemitism		",2023-11-18 02:43:31
"
			NYPD charges homeless man in two unprovoked Bronx street attacks		",2023-11-17 22:36:56
"
			Gang of six attacks man, 60, as he works out in Bronx park: NYPD		",2023-11-17 19:26:48
"
			NYC school bus driver faces traffic charges in death of grandmother on Queens street		",2023-11-17 19:16:03
"
			Shooter busted in fatal shooting of beloved jerk chicken street vendor in Harlem: NYPD		",2023-11-17 18:36:21
"
			Man stabbed with screwdriver on midtown Manhattan train		",2023-11-18 09:17:18
"
			Group of boys spray paints swastikas, ‘Hamas’ on Upper East Side buildings		",2023-11-17 17:15:41
"
			6 arrested in Manhattan Friday night after hundreds of pro-Palestinian protesters swarm Grand Central Terminal		",2023-11-17 18:52:17
"
			NYPD prepares for large crowds, potential mayhem from Prime energy drink ‘golden bottle’ giveaway		",2023-11-17 17:52:29
"
			Exclusive video shows moment Bronx cannabis shop clerk fatally shoots robber		",2023-11-17 13:06:38
"
			Grandmother killed by school bus minutes after dropping her granddaughters off at school: NYPD		",2023-11-17 12:57:12
"
			Jewish woman assaulted in Manhattan during confrontation with poster vandals: NYPD		",2023-11-16 18:49:28
"
			Man run over in Queens was victim of grisly road rage attack: police		",2023-11-16 16:41:42
"
			NYPD seeks woman who tossed hot coffee at man wearing Palestinian scarf with toddler son at Brooklyn playground; ‘I hope someone burns your baby’		",2023-11-16 17:05:52
"
			Cops nab suspect in fatal shooting of man chased into Bronx bodega		",2023-11-17 18:36:21
"
			Man shot in front of parents by stranger he accidentally bumped on Manhattan street		",2023-11-18 09:17:18
"
			Rikers Island medical staff forgot gurney, left covers on defibrillator in botched response to dying NYC detainee		",2023-11-17 17:15:41
"
			Brooklyn driver who fled cops gets 3 to 9 years for 2022 crash that killed teen passenger		",2023-11-17 18:52:17
"
			Bronx weed store worker charged with gun possession after shooting robber to death; family in disbelief		",2023-11-17 17:52:29
"
			Feds take down Gambino mobsters who celebrated NYC extort plot with champagne		",2023-11-17 13:06:38
"
			NYC October crime decline offset by safety slide in public housing, transit		",2023-11-17 12:57:12
"
			Two juries, one trial for Jam Master Jay murder suspects just won’t work, NYC judge rules		",2023-11-16 18:49:28
"
			Retired NYPD lieutenant steps down as top aide to NYC Probation Commissioner Juanita Holmes		",2023-11-16 16:41:42
"
			Student charged with assault at NYU library during pro-Israel demonstration		",2023-11-16 17:05:52
"
			Manhattan NYCHA worker uses city-issued utility knife to threaten coworker: NYPD		",2023-11-15 21:50:11
"
			Creep punches women in face on Brooklyn subway trains and platforms: NYPD		",2023-11-16 10:31:24
"
			Brooklyn woman tearing down Israeli hostage posters menaced Jewish public safety volunteer with knife, pepper spray, say cops		",2023-11-15 16:33:39
"
			Man caught on camera smiling pummels stranger on Queens subway platform		",2023-11-15 20:56:02
"
			Motorcycle rider dies when he crashes into wall on Belt Parkway in Queens, driver runs him over		",2023-11-15 16:19:03
"
			Rikers Island monitor doesn’t trust NYC jail violence data		",2023-11-15 16:41:04
"
			NYC hate crimes against Jews surge by more than 200% amid Israel-Hamas war; ‘community obviously anxious’		",2023-11-15 12:26:28
"
			Staten Island bar owner stole $1.4M from clothing biz to fund luxury lifestyle buying Louis Vuitton and Gucci items: DA		",2023-11-14 18:31:22
"
			Man dies after catching fire in Bronx apartment building: ‘He was a good man’		",2023-11-14 17:50:38
"
			Teen pedestrian in coma, cyclist details horror after struck by Brooklyn BMW driver charged with speeding drunk		",2023-11-14 18:28:37
"
			Cops looking for NYC mother and son, 4, after she took him from N.C.		",2023-11-15 21:50:11
"
			Man, 30, fatally shot in face in Bronx apartment		",2023-11-16 10:31:24
"
			NYPD will keep watchful eye over 53rd New York Marathon		",2023-11-15 16:33:39
"
			Loud arguing preceded bowling ball homicide of Bronx man, neighbor says; brother faces murder charge		",2023-11-15 20:56:02
"
			Defense lawyers in Jam Master Jay murder trial declare two juries are too much in trial of accused killers		",2023-11-15 16:19:03
"
			Murder charge backed by data in NY state trooper’s 2020 crash that killed Brooklyn girl Monica Goods, 11: AG’s office		",2023-11-15 16:41:04
"
			NYC traffic enforcement agents busted in separate domestic incidents: NYPD		",2023-11-15 12:26:28
"
			Brooklyn man arrested for killing, stuffing mom in box: NYPD		",2023-11-14 18:31:22
"
			Teens chuck coins at Jewish man during Manhattan antisemitic attack: NYPD		",2023-11-14 17:50:38
"
			Four Bronx EMS members suspended for drinking on job: FDNY sources		",2023-11-14 18:28:37
